1957 BMW Isetta 300,,"Fort Lauderdale, FL, USA","$30,000
SOLD",RM Sotheby's,Auction,"Apr 3, 2016"
1957 BMW Isetta 300,,"Scottsdale, AZ, USA","$60,500
SOLD",Barrett-Jackson,Auction,"Jan 31, 2016"
1958 BMW 600,,"Phoenix, AZ, USA","$24,750
SOLD",RM Sotheby's,Auction,"Jan 29, 2016"
1959 BMW Isetta 300,,"Scottsdale, AZ, USA","$44,000
SOLD",Barrett-Jackson,Auction,"Jan 27, 2016"
1957 BMW Isetta,,"Kissimmee, FL, USA","$35,000
SOLD",Mecum,Auction,"Jan 21, 2016"
1956 BMW Isetta 300,,"Hilton Head Island, SC, USA","$35,200
SOLD",RM Sotheby's,Auction,"Oct 31, 2015"
1961 BMW Isetta 250,500 mi,"Athens, GRC","$20,353
SOLD",Bring a Trailer,Auction,"Oct 27, 2015"
1957 BMW Isetta 300,,"Las Vegas, NV, USA","$42,900
SOLD",Barrett-Jackson,Auction,"Sep 25, 2015"
1958 BMW Isetta,,"Dallas, TX, TX, USA","$35,000
SOLD",Mecum,Auction,"Sep 19, 2015"
1958 BMW Isetta 300,,"Dallas, TX, TX, USA","$25,000
SOLD",Mecum,Auction,"Sep 17, 2015"
1957 BMW Isetta 250,,"Monterey, CA, USA","$32,000
SOLD",Mecum,Auction,"Aug 14, 2015"
1960 BMW Isetta Coupe,,"Monterey, CA, USA","$28,600
SOLD",Russo and Steele,Auction,"Aug 13, 2015"
1957 BMW 300 Isetta,,"Harrisburg, PA, USA","$38,500
SOLD",Mecum,Auction,"Jul 31, 2015"
1959 BMW Isetta Convertible,,"Denver, CO, USA","$40,000
SOLD",Mecum,Auction,"Jun 27, 2015"
1959 BMW Isetta,,"Paris, FRA","€23,840
SOLD",Artcurial (EU),Auction,"Jun 22, 2015"
1957 BMW Isetta 300,,,"$24,200
SOLD",Auctions America (RM Sotheby's),Auction,"May 9, 2015"
